Numero,Nom,Type,Description
1,Bulbizarre,Pokémon Graine,"Au matin de sa vie, la graine sur
son dos lui fournit les éléments
dont il a besoin pour grandir."
2,Herbizarre,Pokémon Graine,"Lorsque le bourgeon sur son dos
éclot, il répand un doux parfum
pour célébrer sa floraison."
3,Florizarre,Pokémon Graine,"Le parfum de sa fleur se fait plus
pénétrant les lendemains de pluie.
Cela appâte les autres Pokémon."
4,Salamèche,Pokémon Lézard,"La flamme de sa queue symbolise sa
vitalité. Elle est intense quand il
est en bonne santé."
5,Reptincel,Pokémon Flamme,"La nuit, la queue ardente du Reptincel
brille comme une étoile dans son
repaire montagneux."
6,Dracaufeu,Pokémon Flamme,"On raconte que la flamme du
Dracaufeu s’intensifie après
un combat difficile."
7,Carapuce,Pokémon Minitortue,"Il se réfugie dans sa carapace
et réplique en éclaboussant
l’ennemi à la première occasion."
8,Carabaffe,Pokémon Tortue,"On prétend qu’il vit 10 000 ans.
Sa queue duveteuse est un
symbole de longévité populaire."
9,Tortank,Pokémon Carapace,"Les trombes d’eau projetées par
les canons de sa carapace peuvent
percer le métal le plus résistant."
10,Chenipan,Pokémon Ver,"Ses antennes rouges libèrent une
puanteur qui repousse l’ennemi.
Il grandit par mues régulières."
11,Chrysacier,Pokémon Cocon,"Son corps frêle est protégé par sa
carapace d’acier. Il encaisse les
coups durs en attendant d’évoluer."
12,Papilusion,Pokémon Papillon,"Il raffole du nectar des fleurs. Il
est capable de repérer la plus
petite quantité de pollen."
13,Aspicot,Pokémon Insectopic,"Il mange chaque jour son poids en
feuilles. Il utilise l’aiguillon sur sa
tête pour repousser l’ennemi."
14,Coconfort,Pokémon Cocon,"Il se cache sous les feuilles et les
branches pour fuir les prédateurs
en attendant d’évoluer."
15,Dardargnan,Pokémon Guêpoison,"Il virevolte rapidement autour de
l’ennemi et frappe de son dard
empoisonné avant de décamper."
16,Roucool,Pokémon Minoiseau,"Ce Pokémon docile préfère éviter
le combat. Toutefois, il se montre
très féroce quand on l’agresse."
17,Roucoups,Pokémon Oiseau,"Il survole son vaste territoire en
quête d’une proie avant de fondre
sur elle toutes griffes en avant."
18,Roucarnage,Pokémon Oiseau,"En battant des ailes de toutes ses
forces, Roucarnage génère une
rafale à en déraciner les arbres."
19,Rattata,Pokémon Souris,"D’une prudence extrême, sa nature
robuste lui permet de s’adapter à
tous les terrains."
20,Rattatac,Pokémon Souris,"Il grignote sans cesse pour apaiser
la poussée de ses crocs. Il peut
transpercer un mur de parpaings."
21,Piafabec,Pokémon Minoiseau,"Il fait battre vigoureusement ses
petites ailes pour voler et cherche
à manger dans l’herbe avec le bec."
22,Rapasdepic,Pokémon Bec-Oiseau,"Il a assez d’énergie pour voler
toute la journée avec ses grandes
ailes. Il frappe de son bec acéré."
23,Abo,Pokémon Serpent,"Il se faufile dans l’herbe sans un
bruit et frappe dans le dos quand
sa proie s’y attend le moins."
24,Arbok,Pokémon Cobra,"Il utilise la marque sur son ventre
pour intimider l’ennemi. Il étouffe
l’ennemi pétrifié par la peur."
25,Pikachu,Pokémon Souris,"Il lui arrive de remettre d’aplomb
un Pikachu allié en lui envoyant
une décharge électrique."
26,Raichu,Pokémon Souris,"Il se protège des décharges grâce
à sa queue qui dissipe l’électricité
dans le sol."
27,Sabelette,Pokémon Souris,"Il vit sur des terres arides épargnées
par la pluie. Il se roule en boule pour
se protéger."
28,Sablaireau,Pokémon Souris,"Il se met en boule pour percuter
l’ennemi. Ses épines aiguisées
font beaucoup de dégâts."
29,Nidoran♀,Pokémon Vénépic,"Bien qu’il rechigne à se battre, une
goutte du poison sécrété par ses
piquants peut s’avérer fatale."
30,Nidorina,Pokémon Vénépic,"Ce Pokémon dresse ses piquants
en cas de danger. Ils poussent
moins vite que ceux de Nidorino."
31,Nidoqueen,Pokémon Perceur,"Son corps est recouvert d’écailles
solides. Il donnera sa vie pour
secourir les petits de son terrier."
32,Nidoran♂,Pokémon Vénépic,"Il jauge le terrain en laissant
ses oreilles dépasser de l’herbe.
Il se défend avec sa corne toxique."
33,Nidorino,Pokémon Vénépic,"D’un tempérament violent, il
empale l’ennemi sur sa corne
qui distille un poison puissant."
